organisation,cohort,name,collection,pipeline,endpoint,endpoint_url,licence,status,days_since_200,exception,resource,latest_log_entry_date,endpoint_entry_date,endpoint_end_date,resource_start_date,resource_end_date,cohort_start_date
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction,article-4-direction-area,cef4c02dacb006498d1c48729d2a18f3088b397132bce167e9b6c72f714b3a38,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/A4D_Merge/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,ogl3,200,0.0,,090a4a90f160c121e491c1ddc3d7b4d232ecff0e4fe00f88bc9d38391b354cf4,2025-03-12,2025-01-03,,2025-01-08,,2020-03-01
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,conservation-area,conservation-area,d027bc3baf8f1bdf299797a1c368c1144fd19cf431e30214baa5f92e1f6ab5c6,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Conservation_Areas_HE/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,ogl3,200,0.0,,70389e80310d49aa33908651f09d7636ff0003215c0c9240195489aec29fb1df,2025-03-12,2024-10-01,,2024-12-11,,2020-03-01
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,listed-building,listed-building-outline,94a72578ff9561e7c757a5812eae4db097baba276d39ef4a67d48916326b6ef9,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Listed_Buildings_HE/FeatureServer/0,ogl3,200,0.0,,7408560abed10367b09e54ace3cdfb6bc62018b06f6b10f0fc1aa52839922042,2025-03-12,2024-11-27,,2024-11-28,,2020-03-01
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-order,tree-preservation-zone,314ce9104c6e495d89317de2085d2bcbac1abe54e9f7cb068f35be8171eaa80b,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders_Aylesbury_Vale/FeatureServer/0/query?where=1%3D1&f=geojson&outFields=*,ogl3,200,0.0,,159f13d435951d76b9d11515ebb4dc090b8e60b155ad5e1c6f78e5da535144c9,2025-03-12,2025-01-03,,2024-10-03,,2020-03-01
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,tree-preservation-order,tree,3237276c4ae0e3dae446205a7b917485ce23c196203d80bf30c8cb186e67c8f3,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Tree_Preservation_Orders/FeatureServer/0/,ogl3,200,0.0,,ef2236d310cfdec35d754d13b8e4599d131102393e6bba716291ddb5cc993221,2025-03-12,2025-01-03,,2025-01-08,,2020-03-01
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,article-4-direction,article-4-direction,32e803298b278d83d5f58b1d12497f94c1cbf2f844428f3614f692c7f36c7eeb,https://www.lambeth.gov.uk/sites/default/files/2024-07/LBL_Article_4.csv,ogl3,200,0.0,,5fb087124ab2e6fe410af19a1980915729c3c0900f9949fe26f1d7d7a864f1df,2025-03-12,2024-07-10,,2024-07-11,,2020-03-01
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,article-4-direction,article-4-direction-area,bed4f351349b9a0b2ec746d1650a01c37b5965ea75f2a8791c8c81483d439371,https://www.lambeth.gov.uk/sites/default/files/2024-07/LBL_Article_4_Area_GeoJSON.txt,ogl3,200,0.0,,565974e9b7f4989fc45c9f702b9b66a958d141a3d98e038f2560ed3aa5535384,2025-03-12,2024-07-10,,2024-07-11,,2020-03-01
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,conservation-area,conservation-area,628fb9865d7fae424e7e6f324d3efdea744457334aa22bffea9e419cc6fe7d5b,https://gis.lambeth.gov.uk/arcgis/rest/services/LambethConservationAreas/MapServer/0/query?where=1%3D1&text=&objectIds=&time=&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&featureEncoding=esriDefault&f=geojson,ogl3,200,0.0,,ac1d6c0b0d91d2adf62ddd784fa2e759e77004c8491a242d03e28252a33ed8e2,2025-03-12,2022-01-18,,2024-01-13,,2020-03-01
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,listed-building,listed-building-outline,2edd619184cc8fdfcebab5be89c7de2ccbe03c72c7b6f71361920e3cda55163d,https://opendata.arcgis.com/datasets/a0ea54c61b1f4bdfbe9605324cf70c81_0.geojson,ogl3,200,0.0,,3011ff5e9ed59166a3fa9bb1c33b453cf6478caaef39583d7ef4f47f116fea6f,2025-03-12,2021-11-23,,2024-04-16,,2020-03-01
local-authority:LBH,RIPA-Beta,London Borough of Lambeth,tree-preservation-order,tree-preservation-order,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,https://opendata.arcgis.com/datasets/dbbcc688ab9c4b53ac03df44e02ae704_0.geojson,ogl3,200,0.0,,1c86a6e0c031f57c298978f2e50093644b7dac5d7dfdcf7fb6e4ff8145524c1e,2025-03-12,2021-10-29,,2024-01-11,,2020-03-01
