organisation,cohort,organisation_name,pipeline,issue_type,severity,responsibility,count_issues,collection,endpoint,endpoint_url,latest_status,latest_exception,resource,latest_log_entry_date,endpoint_entry_date,endpoint_end_date,resource_start_date,resource_end_date
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,invalid geometry - fixed,warning,external,1.0,article-4-direction,01de81578391eab3a1fdc9fcb92e559aa0a0bf1aafc777905d680fc0e189811e,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Article_4_Directions_Wycombe/FeatureServer/0/query?where=1%3D1&f=geojson&outfields=*,200,,cf49bb0e4fe017644404d3991ab0bf34d1e723ab26853b76c0080057cf5e5376,2025-03-19,2024-10-01,,2024-10-03,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,,,,,article-4-direction,,https://maps.buckscc.gov.uk/arcgis/services/PLANNING/A4D_WDC/MapServer/WFSServer?request=GetFeature&service=WFS&typename=PLANNING_A4D_WDC:Article_4_Direction_s__Wycombe_,,,ba6b8894113d52450a34f52574f840e050ce83ce1c17662f6013d5898805ecf6,2024-10-09,,,2024-04-23,2024-10-09
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,,,,,article-4-direction,4b9e2b3e33beb72e918447efc99a202b37846ffa272adfc0f665054ba23c819c,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Article_4_Directions_South_Bucks/FeatureServer/0/query?where=1%3D1&f=geojson&outfields=*,200,,548307ad6ef343b8c8edb4a0e8abfde5e577508cf96de0cdf2ce17f04a72833c,2025-03-19,2024-10-01,,2024-10-03,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,invalid date,error,external,2.0,article-4-direction,50001113b5b13d249302bf551ed4d01934e56fbb6aabbdb57622c5dd181a2fa6,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Article_4_Directions_Chiltern/FeatureServer/0/query?where=1%3D1&f=geojson&outfields=*,200,,2d69fe70aa8a8f6ce6391670eb0585dc483244f37dfe38aff109142d97efdf8a,2025-03-19,2024-10-01,,2024-10-03,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,,,,,article-4-direction,5579906cbdd8b0c2039628f8574b9d94df510bee323811351bb25ea2bc7c34ef,https://raw.githubusercontent.com/digital-land/article-4-direction-collection/main/data/Buckinghamshire/patches.csv,200,,ad4f4b6a48a79f3dd902fad48d3eadb3e797600ce9227ebe338758a6f87f9f73,2025-03-19,2022-05-12,,2022-05-12,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,invalid geometry - fixed,warning,external,1.0,article-4-direction,65672f37a643acac1a9d5599a0631db5d9bad9b2cf8874cc7214f06a712664b2,https://maps.buckscc.gov.uk/arcgis/rest/services/PLANNING/A4D_CSB/MapServer/0/query?outFields=*&where=1%3D1&f=geojson,200,,26f858d2b92f412b2d94d23520c0776fbc435cb1fd069a8e6ea4c77a865e08da,2025-03-19,2023-11-07,,2023-11-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,missing value,error,external,5.0,article-4-direction,65672f37a643acac1a9d5599a0631db5d9bad9b2cf8874cc7214f06a712664b2,https://maps.buckscc.gov.uk/arcgis/rest/services/PLANNING/A4D_CSB/MapServer/0/query?outFields=*&where=1%3D1&f=geojson,200,,26f858d2b92f412b2d94d23520c0776fbc435cb1fd069a8e6ea4c77a865e08da,2025-03-19,2023-11-07,,2023-11-08,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,,,,,article-4-direction,,https://maps.buckscc.gov.uk/arcgis/services/PLANNING/A4D_AV/MapServer/WFSServer?request=GetFeature&service=WFS&typename=PLANNING_A4D_AV:Article_4_Direction_s__Aylesbury_Vale_,,,5efed538f15ee9526d0dc51814584bf1dde84b3396e5df2a93744b5dc056edfe,2024-10-02,,,2024-10-02,2024-10-02
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,reference values are not unique,error,external,17.0,article-4-direction,7afdf9f5f2792495eb81677fd065b4b45ab37e478fc96b43df9ee2999cd3e10a,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/Article_4_Directions_AVDC/FeatureServer/0/query?where=1%3D1&f=geojson&outfields=*,200,,e00329c161442329721a4089960c0470e74b740edeb5fb856901795b4096b642,2025-03-19,2024-10-01,,2024-10-03,
local-authority:BUC,RIPA-Beta,Buckinghamshire Council,article-4-direction-area,invalid geometry - fixed,warning,external,3.0,article-4-direction,cef4c02dacb006498d1c48729d2a18f3088b397132bce167e9b6c72f714b3a38,https://services7.arcgis.com/uZqSSlRPLgqdItQE/ArcGIS/rest/services/A4D_Merge/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,200,,090a4a90f160c121e491c1ddc3d7b4d232ecff0e4fe00f88bc9d38391b354cf4,2025-03-19,2025-01-03,,2025-01-08,
